department,product_name,reorder_count
alcohol,Sauvignon Blanc,163
alcohol,Beer,121
alcohol,Cabernet Sauvignon,114
alcohol,Vodka,106
alcohol,Chardonnay,106
alcohol,India Pale Ale,88
alcohol,Pinot Noir,75
alcohol,Pinot Grigio,61
alcohol,Malbec,45
alcohol,Chardonnay Wine,44
alcohol,Prosecco Sparkling Wine,36
alcohol,Handmade Vodka,36
alcohol,Cabernet Sauvignon Wine,28
alcohol,80  Vodka Holiday Edition,26
alcohol,Premium Belgian Lager,25
alcohol,Little Sumpin' Sumpin' Ale,25
alcohol,Merlot,25
alcohol,Pinot Noir Wine,25
alcohol,Belgian White Wheat Ale,24
alcohol,Premium Lager Beer,23
alcohol,Prosecco,20
alcohol,Rose,19
alcohol,Lager,19
alcohol,Variety Pack Hard Cider,18
alcohol,IPA,18
alcohol,Crisp Hard Cider Crisp Apple,18
alcohol,Belgium Beer,17
alcohol,Old Vine Zinfandel,16
alcohol,Brut,14
alcohol,California Red Wine,14
alcohol,Longboard Island Lager,13
alcohol,"Cabernet Sauvignon, Central Coast, 2011",13
alcohol,Brut Cuvee Sparkling Champagne,13
alcohol,Tequila Silver,13
alcohol,Pinot Grigio Wine,13
alcohol,Irish Whiskey,13
alcohol,Red Blend,13
alcohol,Pale Ale Beer,12
alcohol,"Ale, India Pale, Brew Free! Or Die IPA",12
alcohol,Sculpin IPA,12
alcohol,Mixed 12 Pack Lion's Share Ale,12
alcohol,Extra Beer Bottles,12
alcohol,"Handmade Vodka From Austin, Texas",11
alcohol,Frontier Whiskey,11
alcohol,Whiskey,11
alcohol,Amber Ale,11
alcohol,Brut Sparkling Wine,11
alcohol,Lager Beer,11
alcohol,Especial,11
alcohol,Triple Distilled Vodka,11
alcohol,Clara,11
alcohol,Brown Ale,11
alcohol,Brewmaster's Seasonal Sampler,11
alcohol,Light,10
alcohol,Vintner's Reserve Chardonnay,10
alcohol,Zinfandel,10
alcohol,California Pinot Noir,9
alcohol,Belgian White Beer,9
alcohol,Chocolate Chip Heart Thrive,9
alcohol,Private Selection Pinot Noir,9
alcohol,Silver Tequila,9
alcohol,Sauvignon Blanc Wine,9
alcohol,Scrimshaw Pilsner Style Beer,9
alcohol,Kentucky Straight Bourbon Whiskey,9
alcohol,London Dry Gin,7
alcohol,Beer Cans,7
alcohol,Irish Whiskey Ireland,7
alcohol,Spiced Rum,7
alcohol,12 Oz Lager,7
alcohol,Vinho Verde,7
alcohol,Fresh Squeezed IPA,7
alcohol,California Merlot,7
alcohol,India Pale Ale Racer 5,7
alcohol,Draft Beer,7
alcohol,"Cabernet Sauvignon, California, 2005",7
alcohol,Brut California Champagne,7
alcohol,Robert Mondavi,7
alcohol,"Pinot Noir, California",7
alcohol,Old Vine Zinfandel Wine,6
alcohol,Vintners Reserve Sauvignon Blanc,6
alcohol,Extra Dry California Champagne,6
alcohol,California Red Velvet Wine,6
alcohol,Draught,6
alcohol,Imported Beer from Mexico,6
alcohol,Pinot Noir California,6
alcohol,Original Belgian Wheat Beer,6
alcohol,Pinot Gris,6
alcohol,Frontier Straight 95% Rye Mash Whiskey,6
alcohol,Extra IPA Beer,6
alcohol,Organic & Raw Grape Kombucha,6
alcohol,Icelandic White Ale 6 Pack,5
alcohol,Moscato,5
alcohol,"Cabernet Sauvignon, Central Coast, 2007",5
alcohol,Puerto Rican Rum,5
alcohol,"Tequila, Silver",5
alcohol,Shiraz,5
alcohol,Coronita Beer Extra,5
alcohol,Chardonnay California,5
alcohol,Superior Puerto Rican Rum,5
alcohol,"Champagne, Extra Dry, Sparkling California",5
alcohol,Vodka 525,5
alcohol,Sonoma Pinot Noir Wine,5
alcohol,Essential Red,5
alcohol,Gin,5
alcohol,Junmai Sake,5
alcohol,California Chardonnay,5
alcohol,Old Rasputin Stout Beer,5
alcohol,Central Coast Chardonnay,5
alcohol,Riesling,5
alcohol,The Original Irish Creme Liquer,5
alcohol,Gold Rum,5
alcohol,California Champagne Extra Dry,5
